=== Run information ===

Evaluator:    weka.attributeSelection.CorrelationAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Correlation Ranking Filter
Ranked attributes:
 0.21869      794 X793
 0.21831      795 X794
 0.21109      842 X841
 0.21011      843 X842
 0.20944      793 X792
 0.20924      746 X745
 0.20728     1135 X1134
 0.20645      796 X795
 0.2063       745 X744
 0.20551     1183 X1182
 0.20466      747 X746
 0.20225     1087 X1086
 0.2012      1134 X1133
 0.19976     1086 X1085
 0.19944      744 X743
 0.19934      792 X791
 0.19733     1182 X1181
 0.1963       841 X840
 0.19586     1265 X1264
 0.19582     1231 X1230
 0.19519      791 X790
 0.19454     1266 X1265
 0.19411     1313 X1312
 0.19331      844 X843
 0.1929       743 X742
 0.19269      790 X789
 0.19189      748 X747
 0.19174     1038 X1037
 0.19074     1314 X1313
 0.1906      1217 X1216
 0.19051     1039 X1038
 0.19037     1136 X1135
 0.19036     1184 X1183
 0.18971      697 X696
 0.18871     1606 X1605
 0.18828      742 X741
 0.18779      698 X697
 0.18724     1230 X1229
 0.18666      696 X695
 0.18523      797 X796
 0.18522     1264 X1263
 0.18505     1218 X1217
 0.1848      1312 X1311
 0.18456      789 X788
 0.18428     1088 X1087
 0.18392      890 X889
 0.18365     1232 X1231
 0.18355     1169 X1168
 0.18319     1216 X1215
 0.18239     1365 X1364
 0.1819      1273 X1272
 0.18185      840 X839
 0.18163     1605 X1604
 0.1808      1315 X1314
 0.18071     1267 X1266
 0.18041      891 X890
 0.18012     1279 X1278
 0.1798      1121 X1120
 0.17977      695 X694
 0.17976     1361 X1360
 0.17873     1168 X1167
 0.17801     1654 X1653
 0.17781     1317 X1316
 0.17745      741 X740
 0.17733      699 X698
 0.17718     1607 X1606
 0.17685     1366 X1365
 0.17678     1360 X1359
 0.17649      990 X989
 0.17636     1332 X1331
 0.17633     1074 X1073
 0.17541     1362 X1361
 0.17509     1318 X1317
 0.17502      839 X838
 0.17474     1284 X1283
 0.17462     1558 X1557
 0.17448     1170 X1169
 0.17437     1122 X1121
 0.17429     1316 X1315
 0.17376     1027 X1026
 0.17347     1272 X1271
 0.17344     1073 X1072
 0.17323      749 X748
 0.173       1364 X1363
 0.17292     1225 X1224
 0.17272     1280 X1279
 0.17257     1653 X1652
 0.17235      991 X990
 0.1723      1380 X1379
 0.17224      838 X837
 0.17222     1120 X1119
 0.17174     1655 X1654
 0.17163      694 X693
 0.17154      845 X844
 0.17138     1040 X1039
 0.17137     1283 X1282
 0.17069     1026 X1025
 0.17039     1075 X1074
 0.17038      889 X888
 0.16994     1363 X1362
 0.16859     1331 X1330
 0.16852      788 X787
 0.16821     1235 X1234
 0.16804     1185 X1184
 0.16795     1559 X1558
 0.16768     1278 X1277
 0.16715     1028 X1027
 0.16687      648 X647
 0.16678     1236 X1235
 0.16621     1219 X1218
 0.16609     1319 X1318
 0.16603      892 X891
 0.1659       837 X836
 0.16588     1037 X1036
 0.16586      649 X648
 0.1657      1233 X1232
 0.16561     1263 X1262
 0.16538     1311 X1310
 0.16524     1321 X1320
 0.16428     1320 X1319
 0.1641      1428 X1427
 0.16398     1137 X1136
