=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Gain Ratio feature evaluator

Ranked attributes:
 0.1261     1217 X1216
 0.1247     1265 X1264
 0.1231     1169 X1168
 0.1195     1313 X1312
 0.1188     1264 X1263
 0.1182     1216 X1215
 0.1175     1122 X1121
 0.117      1170 X1169
 0.1162     1218 X1217
 0.116      1266 X1265
 0.1146     1312 X1311
 0.1145     1121 X1120
 0.1141     1315 X1314
 0.1136     1314 X1313
 0.1127      746 X745
 0.1126     1359 X1358
 0.1125     1074 X1073
 0.1121     1267 X1266
 0.1119     1364 X1363
 0.1114     1168 X1167
 0.1104     1075 X1074
 0.11       1263 X1262
 0.1097     1087 X1086
 0.1089     1135 X1134
 0.1085     1123 X1122
 0.1081      747 X746
 0.1078     1039 X1038
 0.1077     1365 X1364
 0.1071     1317 X1316
 0.107      1316 X1315
 0.1064     1761 X1760
 0.1064     1846 X1845
 0.1062     1073 X1072
 0.1062     1311 X1310
 0.1049      748 X747
 0.1046     1038 X1037
 0.1044      794 X793
 0.104      1363 X1362
 0.104      1183 X1182
 0.1037     1270 X1269
 0.1032     1600 X1599
 0.1031     1412 X1411
 0.1031     1667 X1666
 0.103      1745 X1744
 0.1025     1763 X1762
 0.1024     1231 X1230
 0.1022     1268 X1267
 0.1021      795 X794
 0.1018     1269 X1268
 0.1017     1428 X1427
 0.1012     1167 X1166
 0.1012     1361 X1360
 0.1011     1120 X1119
 0.1011     1215 X1214
 0.101      1184 X1183
 0.101      1715 X1714
 0.101       990 X989
 0.1009     1647 X1646
 0.1006     1028 X1027
 0.1006     1697 X1696
 0.1003     1360 X1359
 0.1003     1171 X1170
 0.1002      936 X935
 0.1002     1086 X1085
 0.1001     1136 X1135
 0.1001     1808 X1807
 0.1001     1220 X1219
 0.0998     1222 X1221
 0.0995     1607 X1606
 0.0992     1746 X1745
 0.0991      698 X697
 0.099       796 X795
 0.0988      745 X744
 0.0988     1318 X1317
 0.0987     1027 X1026
 0.0987     1650 X1649
 0.0986     1648 X1647
 0.0985     1332 X1331
 0.0983     1744 X1743
 0.0983     1696 X1695
 0.0983     1743 X1742
 0.0983      991 X990
 0.0982     1219 X1218
 0.0982     1652 X1651
 0.0981     1649 X1648
 0.0981     1610 X1609
 0.098      1695 X1694
 0.098      1714 X1713
 0.098      1362 X1361
 0.0979      696 X695
 0.0979     1762 X1761
 0.0979     1706 X1705
 0.0979      641 X640
 0.0976     1188 X1187
 0.0975     1609 X1608
 0.0975     1601 X1600
 0.0973     1032 X1031
 0.0973      741 X740
 0.0973     1847 X1846
 0.0972     1088 X1087
 0.0972     1608 X1607
 0.0971      983 X982
 0.0969     1310 X1309
 0.0968     1657 X1656
 0.0967     1230 X1229
 0.0967     1807 X1806
 0.0966     1319 X1318
 0.0966     1072 X1071
 0.0965     1658 X1657
 0.0965     1654 X1653
 0.0964     1656 X1655
 0.0962     1407 X1406
 0.0959     1221 X1220
 0.0959     1271 X1270
 0.0958      740 X739
 0.0958      699 X698
 0.0956     1415 X1414
 0.0956      687 X686
 0.0955     1067 X1066
 0.0955      843 X842
